Date,Category,Merchant/Description,Amount,Bank
2025-11-27,Transfers,e-Transfer sent myself S4LJ4H,150.0,RBC
2025-11-26,Utilities,Misc Payment Hydro Ottawa,112.39,RBC
2025-11-21,Income,Payroll Deposit IBM Canada Ltd.,-3027.64,RBC
2025-11-19,Other,Utility Bill Pmt RELIANCECOMFORT,74.23,RBC
2025-11-18,Utilities,Utility Bill Pmt Enbridge Gas,90.37,RBC
2025-11-17,Phone/Internet,Telephone Bill Pmt FIDO MOBILE,83.58,RBC
2025-11-17,Utilities,Misc Payment ENERCARE HOME S,34.4,RBC
2025-11-13,Transfers,BR TO BR-4432,50.0,RBC
2025-11-10,Insurance,Misc Payment MANULIFE,41.75,RBC
2025-11-07,Fees,Monthly Fee Rebate,6.0,RBC
2025-11-07,Fees,Monthly fee,16.95,RBC
2025-11-07,Income,Payroll Deposit IBM Canada Ltd.,-4920.62,RBC
2025-11-03,Insurance,Misc Payment SUN LIFE,65.0,RBC
2025-11-03,Transfers,e-Transfer sent myself 6TSLUG,462.34,RBC
2025-11-03,Transfers,e-Transfer sent myself C25UEX,300.0,RBC
2025-11-03,Investments,Investment WS Investments,500.0,RBC
2025-11-03,Insurance,Insurance,158.95,RBC
