Date,Category,Merchant/Description,Amount,Bank
2025-11-30,Other,Payment From - *****09*44 25,858.0,Scotiabank
2025-11-27,Retail,Amazon Prime Amazon.Ca/Pribc,11.29,Scotiabank
2025-11-26,Other,Modern Indian Eatery Ottawa On,20.0,Scotiabank
2025-11-17,Other,Villed Ottawacity Ottawa On,282.0,Scotiabank
2025-11-15,Other,Brampton Authentic Nepean On,35.01,Scotiabank
2025-11-13,Other,Paddle London,77.97,Scotiabank
2025-11-13,Retail,Amazon 866-216-1072 On,23.72,Scotiabank
2025-11-12,Retail,Amazon 866-216-1072 On,24.85,Scotiabank
2025-11-11,Groceries,The Indian Supermarket Kanata On,59.85,Scotiabank
2025-11-10,Other,Weis Noodle House Ottawa On,41.93,Scotiabank
2025-11-02,Retail,Dollarama Kanata On,66.77,Scotiabank
2025-11-02,Retail,Amazon 866-216-1072 On,25.97,Scotiabank
2025-11-02,Retail,Amazon,51.47,Scotiabank
2025-11-01,Groceries,The Indian Supermarket Kanata On,17.98,Scotiabank
2025-11-01,Retail,Amazon Web Services Www.Amazon.Caon,38.93,Scotiabank
