Date,Category,Merchant/Description,Amount,Bank,IsBookkeeping
2025-11-27,Transfers,Deposit Free Interac E-Transfer,-150.0,Scotiabank,True
2025-11-18,Transfers,Withdrawal Free Interac E-Transfer,20.0,Scotiabank,True
2025-11-17,Fees,Service Charge Monthly Fees,3.95,Scotiabank,False
2025-11-17,Credit/Income,Overdraft Interest,-0.01,Scotiabank,False
2025-11-15,Transfers,Deposit Free Interac E-Transfer,-20.0,Scotiabank,True
2025-11-12,Wholesale,Pos Purchase Fpos Costco Wholesale W54kanat,9.03,Scotiabank,False
2025-11-12,Wholesale,Pos Purchase Fpos Costco Wholesale W54kanat,22.59,Scotiabank,False
2025-11-12,Wholesale,Pos Purchase Costco Wholesale W541 Kanat,251.73,Scotiabank,False
2025-11-12,Refund,Pos Return Costco Wholesale W541 Kanat,-33.88,Scotiabank,False
2025-11-12,Transfers,Withdrawal Free Interac E-Transfer,50.0,Scotiabank,True
2025-11-03,Transfers,Deposit Free Interac E-Transfer,-65.25,Scotiabank,True
2025-11-03,Credit/Income,Deposit,-462.34,Scotiabank,False
2025-11-01,Other,Overdraft Protect. Fee Pay-Per-Use Odp Plan,5.0,Scotiabank,False
2025-11-01,Wholesale,Pos Purchase Costco Wholesale W541 Kanat,543.4,Scotiabank,False
2025-11-01,Transfers,Deposit Free Interac E-Transfer,-300.0,Scotiabank,True
